name,latitude,longitude,state,locality,source
Wemen,-37.800342,142.521461,Victoria,Wemen,AEMO Victoria
West Melbourne,-36.154814,144.934853,Victoria,West Melbourne,AEMO Victoria
Wodonga,-38.174139,146.950147,Victoria,Wodonga,AEMO Victoria
Bluewaters,-33.3318622049999,116.23383155,Western Australia,Palmer,Geoscience Australia
Cataby,-30.6516451809999,115.457653928,Western Australia,Cooljarloo,Geoscience Australia
Cockburn Terminal,-32.2003091519999,115.776074823,Western Australia,Naval Base,Geoscience Australia
Collgar,-31.5420752869999,118.456602576,Western Australia,Norpa,Geoscience Australia
Collie,-33.340900715,116.261161243,Western Australia,Palmer,Geoscience Australia
East Perth Terminal,-31.945646606,115.87899148,Western Australia,East Perth,Geoscience Australia
Geraldton Terminal,-28.7786,114.6146,Western Australia,Geraldton,Known
Guildford,-31.902078111,116.003371239,Western Australia,Hazelmere,Geoscience Australia
Kwinana Power Partnership,-32.2231186609999,115.766310608,Western Australia,Kwinana Beach,Geoscience Australia
Landwehr,-32.89878629,115.817034082,Western Australia,Wagerup,Geoscience Australia
Merredin Terminal,-31.539639441,118.227438265,Western Australia,Merredin,Geoscience Australia
Mount Lawley,-31.916655404,115.867388267,Western Australia,Inglewood,Geoscience Australia
Mungarra,-28.890117502,115.118634973,Western Australia,West Casuarinas,Geoscience Australia
Neerabup,-31.681789158,115.821965624,Western Australia,Pinjar,Geoscience Australia
Northern,-31.8511804579999,115.892350712,Western Australia,Malaga,Geoscience Australia
Oakley,-32.6470344969999,115.896123666,Western Australia,Fairbridge,Geoscience Australia
Perth Terminal,-31.9505,115.8605,Western Australia,Perth,Known
Pinjar,-31.5576615209999,115.822390195,Western Australia,Pinjar,Geoscience Australia
Shotts,-33.3178645899999,116.275894248,Western Australia,Palmer,Geoscience Australia
South Fremantle,-32.092071658,115.758723029,Western Australia,North Coogee,Geoscience Australia
Three Springs,-29.519223607,115.796186428,Western Australia,Womarden,Geoscience Australia
Wagerup,-32.916238134,115.922078907,Western Australia,Wagerup,Geoscience Australia
Wells Terminal,-32.7172977719999,116.316536748,Western Australia,Mount Wells,Geoscience Australia
West Kalgoorlie,-30.7813321199999,121.42400078,Western Australia,Feysville,Geoscience Australia
Western Terminal,-31.9565995689999,115.790298216,Western Australia,Mount Claremont,Geoscience Australia
