X,Y,objectid,featuretype,class,name,operationalstatus,state,spatialconfidence,revised,ga_guid,description,voltagekv,locality,comment_,x_coordinate,y_coordinate
137.576689851,-33.00991206,491,Substation,Terminal,Whyalla,Operational,South Australia,5,1763510400000,{74354287-ACD3-4D17-B798-630857FF6B36},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Whyalla Barson,,137.57668985,-33.00991206
118.227438265,-31.539639441,548,Substation,Terminal,Merredin Terminal,Operational,Western Australia,5,1763510400000,{CA330EF1-30B2-49E0-905B-F20747247D5B},"A structure in which high voltage electricity supply is converted, controlled or transformed",220,Merredin,,118.22743827,-31.53963944
116.275894248,-33.3178645899999,571,Substation,Terminal,Shotts,Operational,Western Australia,5,1763510400000,{F8DA678F-D37C-4FC9-BEC6-1E04479489DD},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Palmer,,116.27589425,-33.31786459
118.456602576,-31.5420752869999,572,Substation,Terminal,Collgar,Operational,Western Australia,5,1763510400000,{918586F1-77CF-4C28-84EC-9B052E41A501},"A structure in which high voltage electricity supply is converted, controlled or transformed",220,Norpa,,118.45660258,-31.54207529
121.42400078,-30.7813321199999,629,Substation,Terminal,West Kalgoorlie,Operational,Western Australia,5,1763510400000,{5C54FC4F-269D-4B2D-8BED-9F5EA71DC867},"A structure in which high voltage electricity supply is converted, controlled or transformed",220,Feysville,,121.42400078,-30.78133212
115.87899148,-31.945646606,661,Substation,Terminal,East Perth Terminal,Operational,Western Australia,5,1763510400000,{137C51C8-308B-484C-BB31-182690B1EE92},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,East Perth,,115.87899148,-31.94564661
115.790298216,-31.9565995689999,662,Substation,Terminal,Western Terminal,Operational,Western Australia,5,1763510400000,{3A96CAB1-EE92-4551-9349-869C99A7B209},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Mount Claremont,,115.79029822,-31.95659957
115.822390195,-31.5576615209999,674,Substation,Terminal,Pinjar,Operational,Western Australia,5,1763510400000,{E18F8EA6-025C-42AE-AEAA-429C5DEB0EAB},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Pinjar,,115.8223902,-31.55766152
115.892350712,-31.8511804579999,675,Substation,Terminal,Northern,Operational,Western Australia,5,1763510400000,{74B0A738-B4D8-4E1C-8747-F4D0790243D8},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Malaga,,115.89235071,-31.85118046
144.011541476,-37.729939551,687,Substation,Terminal,Elaine,Operational,Victoria,5,1763510400000,{C0595D7C-7BAC-4A6D-B66B-3B240237E9FB},"A structure in which high voltage electricity supply is converted, controlled or transformed",220,Elaine,,144.01154148,-37.72993955
149.860739678,-29.5727628189999,723,Substation,Terminal,Moree Solar,Operational,New South Wales,5,1763510400000,{A8CEF451-04F4-4963-93BF-2790EEDB9954},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Moree,,149.86073968,-29.57276282
116.261161243,-33.340900715,739,Substation,Terminal,Collie,Operational,Western Australia,5,1763510400000,{4A05D6CB-4622-4B56-A9FB-7F8510BF1676},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Palmer,,116.26116124,-33.34090072
