title,status,size_mw,size_mwh,year_operational,technology,owner,categories,latitude,longitude,state
Gould Creek,Proposed,225.0,450.0,2023,n/a,Maoneng,4,-34.42,138.72,SA
Port Hedland,Operating,35.0,36.7,2024,UGL,Alinta,1,-20.30054122039307,118.4406194220499,WA
Mornington,Announced,240.0,580.0,2029,n/a,Verdant,2,-38.26,145.19,VIC
Childers,Proposed,25.0,50.0,2022,n/a,Elliott Green Power,4,-25.24,152.28,QLD
Armidale,Proposed,150.0,300.0,2022,n/a,Maoneng,4,-30.51,151.67,NSW
Lismore,Proposed,100.0,200.0,2026,n/a,Maoneng,4,-28.81,153.27,NSW
Melbourne Renewable Energy Hub,Operating,600.0,1600.0,2025,Tesla,"Equis Development, SEC.",1,-37.08269494242453,143.9504405809242,VIC
Deer Park ,Announced,275.0,100.0,2027,n/a,Akaysha Energy,2,-37.78,144.66,VIC
Hazelwood,Operating,150.0,150.0,2023,Fluence,Engie and Eku Energy.,1,-38.30265306728521,146.54975341759604,VIC
Blyth,Operating,237.5,477.0,2025,"CATL, Power Electronics",Neoen,1,-33.91514240714533,138.39435081086657,SA
Uaroo Renewable Energy Hub,Proposed,100.0,100.0,2030,n/a,Fortescue Future Industries,4,-26.94459904767825,121.00435787396226,WA
Kogan Renewable Hydrogen Project,Unknown,,,2022,Renewable hydrogen electrolyser and fuel cell,CS Energy,,-27.128950057773242,120.88245842548264,WA
Waratah Super Battery,Operating,850.0,1680.0,2025,Powin,Akaysha Energy,1,-33.57076941838583,151.36194149826045,NSW
Chinchilla,Operating,100.0,200.0,2024,Tesla Megapack,CS Energy,1,-26.83200821976141,150.79644262737216,QLD
Collie Battery,Proposed,800.0,800.0,2024,N/A,Sunshot Energy,4,-33.37,116.16,WA
Golden Plains,Construction,150.0,600.0,2027,Tesla,"TAG Energy, West wind",3,-37.93,143.9,VIC
Merriwa Energy Hub,Unknown,400.0,1600.0,2025,N/A,Maoneng,,-26.998966927080563,120.82471567996394,WA
Greenbank,Operating,200.0,400.0,2024,N/A,CS Energy,1,-27.64301797037704,152.80284334582936,QLD
Tailem Bend hybrid,Operating,41.5,41.5,2024,Doosan,Vena Energy,1,-35.44182628152201,139.56595151591264,SA
Tailem Bend 2,Operating,87.0,,2024,N/A,Vena Energy,11,-35.4322628212669,139.46136078221028,SA
Bulli Creek,Announced,400.0,1600.0,2025,N/A,Genex Power,2,-27.5,151.83,QLD
Orana,Construction,415.0,1660.0,2025,N/A,BlackRock/Akaysha Energy,3,-31.8,148.7,NSW
Palmerston,Proposed,100.0,200.0,,N/A,BlackRock/Akaysha Energy,4,-41.45,147.17,TAS
Dugald River,Operating,88.0,,2023,N/A,APA,11,-21.229263143000697,139.87370405175972,QLD
